,month,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FELONY,MISDEMEANOR,VIOLATION,restaurants,bar,park,subway_station
77,1,36005014500,7360,22711.0,11074.0,9229.0,1404.0,50.4,58.6,12.7,48.4,21.2,4.3,13.5,0.0,52.4,1952,75.7,21.3,3.0,0.0,21.5,4,2,0,60.0,3.0,33.0,0.0
78,1,36005014701,7023,14334.0,4251.0,8401.0,1956.0,61.0,68.3,13.099999999999998,53.7,23.0,4.8,5.4,2.6,46.0,1735,74.39999999999998,22.0,3.6000000000000005,0.0,24.800000000000004,4,5,0,40.0,0.0,23.0,0.0
79,1,36005014702,5243,17782.0,2306.0,7962.0,1099.0,57.8,79.0,12.400000000000002,51.2,23.5,3.8,9.1,2.2,44.89999999999999,1436,88.60000000000002,9.8,1.5,0.0,19.7,0,7,0,60.0,0.0,27.0,0.0
80,1,36005014900,4348,27212.0,7590.0,12449.0,1544.0,48.5,53.8,17.599999999999994,34.2,25.2,11.6,11.3,4.2,41.6,1430,77.0,11.0,12.0,0.0,18.1,1,4,1,60.0,1.0,32.0,0.0
81,1,36005015100,5458,30339.0,4993.0,14429.0,1642.0,28.2,37.6,21.9,43.5,16.0,10.0,8.6,1.8000000000000005,42.4,1935,82.2,14.3,3.5,0.0,10.4,3,2,3,60.0,0.0,33.0,1.0
82,1,36005015300,4466,19630.0,5355.0,12812.0,2241.0,50.8,69.3,22.5,35.3,25.4,5.3,11.4,1.5,43.7,1539,83.0,13.8,3.1,0.0,15.1,1,0,1,80.0,2.0,30.0,3.0
83,1,36005015500,3178,21136.0,2778.0,10488.0,1925.0,51.7,64.2,13.5,39.7,27.5,6.5,12.8,0.0,45.0,844,84.60000000000002,9.2,5.2,0.9,31.1,3,3,0,40.0,3.0,12.0,2.0
84,1,36005015700,4054,33785.0,6549.0,16223.0,3145.0,26.7,34.2,17.3,31.9,19.9,19.3,11.6,1.4,42.8,1808,73.0,18.2,8.799999999999997,0.0,22.6,2,3,1,100.0,7.0,34.0,4.0
85,1,36005015800,1202,77045.0,10438.0,32964.0,5646.0,11.5,10.4,36.7,22.6,25.9,6.3,8.5,3.2,40.8,567,78.3,16.8,4.9,0.0,7.5,1,4,0,60.0,13.0,7.0,0.0
86,1,36005015900,1420,16027.0,5922.0,12878.0,2925.0,51.0,57.39999999999999,38.3,34.7,22.1,0.0,4.9,1.6,46.3,426,84.5,15.3,0.2,0.0,13.099999999999998,3,5,1,20.0,2.0,12.0,3.0
87,1,36005016000,4274,77216.0,22985.0,35775.0,3894.0,3.2999999999999994,0.0,31.100000000000005,24.0,27.0,8.4,9.5,4.1,35.7,2148,85.3,13.1,1.6000000000000003,0.0,6.900000000000001,2,0,1,367.0,14.0,3.0,0.0
88,1,36005016100,4140,12467.0,6442.0,12532.0,2385.0,51.60000000000001,61.89999999999999,19.0,51.60000000000001,16.5,3.2,9.7,3.0,44.0,1465,69.8,25.5,4.6000000000000005,0.0,17.8,2,4,2,60.0,3.0,21.0,3.0
89,1,36005016400,885,60682.0,17257.0,35090.0,12325.0,10.1,14.8,29.2,34.5,23.6,6.8,5.9,8.1,31.6,322,78.9,14.6,6.5,0.0,14.6,0,1,0,60.0,13.0,5.0,0.0
90,1,36005016500,1189,26645.0,9252.0,12860.0,2302.0,33.89999999999999,60.7,15.0,44.2,23.199999999999992,2.899999999999999,14.8,3.7,50.2,419,70.20000000000002,22.699999999999992,7.200000000000002,0.0,11.0,3,8,0,60.0,6.0,21.0,0.0
91,1,36005016600,2252,63421.0,14767.0,28075.0,3892.0,10.2,5.2,39.3,19.1,24.6,8.1,9.0,5.700000000000001,46.3,992,86.10000000000002,10.900000000000002,3.0,0.0,9.1,1,4,3,80.0,8.0,5.0,0.0
92,1,36005016700,2733,27222.0,5912.0,9971.0,1118.0,43.79999999999999,49.79999999999999,18.0,36.4,22.5,3.2000000000000006,19.9,2.7000000000000006,43.5,863,76.1,11.199999999999998,11.1,1.5,15.5,1,2,0,60.0,1.0,22.0,0.0
93,1,36005017300,6301,18720.0,5158.0,11124.0,1676.0,36.7,30.7,16.4,36.3,29.5,1.5,16.3,2.4,44.1,1850,82.9,8.2,8.9,0.0,17.5,0,2,0,60.0,3.0,39.0,0.0
94,1,36005017500,7004,22000.0,8045.0,16132.0,5954.0,45.8,57.2,19.6,40.89999999999999,25.6,4.4,9.5,3.100000000000001,39.3,2270,79.79999999999998,13.099999999999996,5.5,1.6,14.400000000000004,1,9,1,40.0,6.0,9.0,0.0
95,1,36005017701,4946,25022.0,9623.0,12870.0,3393.0,46.7,65.89999999999999,24.6,38.4,14.1,1.1,21.8,0.0,30.2,1485,86.60000000000002,7.8,5.6000000000000005,0.0,15.6,3,2,1,40.0,5.0,13.0,0.0
96,1,36005017702,5388,23485.0,4504.0,12008.0,2234.0,42.1,54.5,28.3,30.6,19.5,3.4,18.2,8.9,41.2,1850,85.5,7.8,6.6,0.0,15.7,3,0,1,20.0,2.0,7.0,0.0
97,1,36005017901,4661,21376.0,4131.0,12459.0,2129.0,44.3,65.3,22.0,31.4,15.3,9.7,21.6,6.3,39.7,1870,71.0,13.4,15.6,0.0,15.7,1,3,1,20.0,5.0,4.0,1.0
98,1,36005017902,3600,20852.0,10152.0,11097.0,2032.0,41.3,51.8,13.3,45.4,24.6,6.9,9.8,10.7,43.3,1405,74.9,12.3,12.8,0.0,13.9,0,2,0,20.0,4.0,5.0,1.0
99,1,36005018101,2921,27371.0,3090.0,13799.0,2059.0,34.5,59.7,8.4,39.8,25.5,5.6,20.6,2.4,41.1,1293,84.5,10.9,4.6,0.0,12.0,0,1,0,40.0,6.0,5.0,0.0
100,1,36005018102,5626,38250.0,3785.0,14801.0,2870.0,33.7,56.2,20.1,37.6,25.5,3.2,13.6,3.0,41.0,2363,84.2,6.3,9.1,0.5,14.8,5,1,0,40.0,4.0,5.0,1.0
101,1,36005018301,4202,29987.0,2690.0,22383.0,3534.0,23.9,26.1,33.4,33.2,21.6,0.4,11.4,8.0,35.8,1691,77.4,14.1,8.5,0.0,16.3,1,0,1,,,,
102,1,36005018302,4078,31324.0,5646.0,13543.0,2098.0,36.4,59.2,16.0,26.2,34.6,10.0,13.2,9.3,43.5,1573,90.29999999999998,7.1000000000000005,2.6,0.0,16.8,1,5,2,40.0,5.0,16.0,0.0
103,1,36005018400,3676,60518.0,13541.0,30463.0,3871.0,14.5,29.2,36.8,18.7,25.800000000000004,14.8,3.9,3.1000000000000005,34.300000000000004,1765,80.39999999999998,14.2,5.4,0.0,7.1000000000000005,2,4,1,140.0,8.0,16.0,0.0
104,1,36005018500,6885,26496.0,7896.0,12708.0,1637.0,43.8,50.0,17.0,44.0,27.699999999999992,4.1000000000000005,7.200000000000002,8.700000000000001,48.399999999999984,2336,77.70000000000002,16.900000000000002,5.4,0.0,19.7,2,11,0,100.0,8.0,75.0,0.0
105,1,36005018900,8304,21180.0,4212.0,12466.0,2111.0,44.1,47.9,23.5,26.6,27.7,7.4,14.7,5.3,38.7,2624,83.4,11.9,4.7,0.0,16.7,0,5,0,80.0,16.0,41.0,4.0
106,1,36005019300,5737,23267.0,5349.0,13286.0,4204.0,50.89999999999999,61.0,13.7,30.0,34.6,6.4,15.400000000000002,1.0,44.60000000000001,1758,80.3,15.5,4.2,0.0,18.7,5,3,1,120.0,5.0,45.0,1.0
107,1,36005019500,7622,26706.0,3344.0,14042.0,1701.0,34.4,40.4,15.900000000000002,47.2,22.4,5.1000000000000005,9.4,7.200000000000001,40.1,2917,79.2,10.1,10.7,0.0,15.0,0,6,1,80.0,30.0,26.0,7.0
