,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,restaurants,bar,park,subway_station,FELONY,MISDEMEANOR,VIOLATION,target
27,36005005400,6219.0,27380.0,6078.0,14711.0,2106.0,41.7,55.79999999999999,11.900000000000004,32.300000000000004,22.300000000000008,18.800000000000008,14.699999999999996,3.899999999999999,41.3,2600.0,81.5,7.200000000000002,11.3,0.0,8.900000000000002,40.0,6.0,5.0,3.0,42,69,12,123
28,36005005600,2468.0,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.800000000000008,10.7,11.400000000000004,1.3000000000000005,40.0,821.0,87.29999999999997,10.2,2.3999999999999995,0.0,16.800000000000004,40.0,3.0,9.0,3.0,10,33,7,50
29,36005005902,3131.0,38542.0,6531.0,19604.0,4834.0,26.9,18.3,21.2,41.2,17.7,9.8,10.1,8.700000000000001,40.1,1205.0,70.5,23.2,6.200000000000001,0.0,14.2,40.0,15.0,14.0,3.0,8,8,2,18
30,36005006000,1256.0,41190.0,4642.0,15989.0,2949.0,35.2,46.8,20.7,39.8,21.300000000000004,2.899999999999999,15.300000000000002,4.700000000000001,40.39999999999999,522.0,75.10000000000002,18.4,6.5,0.0,11.099999999999996,100.0,0.0,26.0,6.0,9,22,5,36
31,36005006100,3706.0,48298.0,9993.0,31379.0,3023.0,9.8,7.700000000000002,35.0,30.0,27.9,1.6999999999999995,5.4,0.0,37.5,1581.0,61.0,37.60000000000001,1.4,0.0,7.799999999999998,60.0,13.0,21.0,1.0,8,17,5,30
32,36005006200,7610.0,24480.0,5909.0,12152.0,1646.0,34.7,55.0,14.5,36.2,21.300000000000004,21.0,7.0,7.099999999999999,41.60000000000001,2749.0,75.60000000000002,12.5,12.0,0.0,11.400000000000004,80.0,3.0,13.0,3.0,35,47,13,95
33,36005006300,4431.0,32064.0,4061.0,19243.0,2473.0,27.7,45.0,19.899999999999995,25.89999999999998,33.39999999999999,5.400000000000002,15.5,0.0,41.39999999999999,2032.0,80.0,13.9,6.099999999999998,0.0,12.800000000000004,320.0,104.0,103.0,25.0,76,169,26,271
34,36005006400,3590.0,30726.0,8555.0,15846.0,3083.0,41.10000000000001,63.899999999999984,25.399999999999995,18.7,40.5,9.900000000000002,5.5,2.1000000000000005,46.70000000000001,1459.0,79.39999999999998,13.0,7.5,0.0,12.199999999999998,60.0,5.0,7.0,4.0,8,33,11,52
35,36005006500,5487.0,21384.0,5108.0,11967.0,1760.0,44.20000000000002,63.29999999999996,10.5,44.100000000000016,30.3,4.099999999999999,11.099999999999996,5.099999999999998,35.899999999999984,2168.0,85.2,10.699999999999996,4.099999999999999,0.0,11.599999999999996,80.0,14.0,24.0,5.0,99,161,26,286
36,36005006700,7421.0,21016.0,4709.0,13243.0,6074.0,47.100000000000016,67.10000000000001,12.900000000000004,35.399999999999984,26.300000000000008,6.099999999999999,19.300000000000008,5.700000000000002,46.20000000000001,2413.0,81.79999999999997,9.900000000000004,8.299999999999999,0.0,14.599999999999996,60.0,1.0,45.0,2.0,49,99,20,168
37,36005006800,3288.0,47232.0,11781.0,17178.0,2623.0,22.5,33.89999999999999,16.099999999999998,40.2,22.0,14.699999999999998,6.900000000000001,1.1,42.899999999999984,1370.0,84.20000000000002,12.599999999999996,3.2999999999999994,0.0,12.5,60.0,9.0,6.0,3.0,17,19,5,41
38,36005006900,8554.0,19741.0,7359.0,12111.0,1804.0,44.0,48.5,18.0,37.7,25.6,5.200000000000002,13.5,4.9,38.3,2617.0,80.0,14.599999999999996,5.4,0.0,16.699999999999992,40.0,6.0,40.0,0.0,33,65,15,113
39,36005007000,4568.0,34191.0,7201.0,14602.0,1614.0,30.1,55.3,16.400000000000002,34.300000000000004,22.6,14.099999999999996,12.599999999999996,4.0,45.399999999999984,1877.0,84.79999999999998,12.599999999999996,2.6000000000000005,0.0,11.8,40.0,11.0,6.0,3.0,11,32,8,51
40,36005007100,2547.0,38289.0,6810.0,18245.0,3123.0,28.800000000000008,37.8,26.699999999999992,23.4,27.600000000000005,14.400000000000004,7.799999999999998,1.4,44.399999999999984,1011.0,78.20000000000003,19.800000000000008,2.0,0.0,16.5,100.0,8.0,63.0,5.0,46,78,14,138
41,36005007200,5822.0,37634.0,8074.0,14985.0,2146.0,33.39999999999999,48.0,19.9,30.899999999999995,26.699999999999992,12.0,10.599999999999998,2.3000000000000003,42.2,2307.0,84.79999999999998,9.3,5.9,0.0,7.400000000000001,80.0,28.0,20.0,6.0,21,30,12,63
42,36005007300,3761.0,18358.0,5706.0,9872.0,1662.0,50.7,60.0,10.099999999999996,47.899999999999984,26.300000000000008,4.799999999999998,10.900000000000004,12.0,46.20000000000001,1127.0,91.20000000000003,5.299999999999998,3.5,0.0,20.2,20.0,0.0,7.0,1.0,39,93,17,149
43,36005007400,3635.0,44455.0,7777.0,22275.0,2702.0,19.300000000000004,40.60000000000001,33.89999999999999,30.699999999999992,23.1,2.8000000000000003,9.599999999999998,2.7,45.399999999999984,1630.0,74.70000000000002,23.899999999999995,1.5,0.0,7.099999999999999,60.0,0.0,6.0,0.0,8,28,4,40
44,36005007500,5599.0,25452.0,5317.0,13290.0,1603.0,31.699999999999992,43.5,19.5,40.5,25.100000000000005,6.5,8.400000000000004,2.7,38.8,2017.0,78.70000000000003,15.199999999999998,6.099999999999999,0.0,8.5,60.0,5.0,40.0,3.0,26,69,8,103
45,36005007600,5587.0,33465.0,6930.0,15194.0,1990.0,34.60000000000001,50.3,14.400000000000004,29.800000000000008,24.1,15.0,16.699999999999996,2.3000000000000003,39.39999999999999,2316.0,87.39999999999998,7.900000000000001,3.5,1.1999999999999995,9.400000000000002,60.0,20.0,11.0,4.0,25,40,14,79
46,36005007700,1933.0,26486.0,7002.0,13724.0,2428.0,37.8,52.5,20.300000000000004,27.899999999999995,31.399999999999995,10.400000000000002,9.900000000000002,3.100000000000001,40.2,684.0,79.10000000000002,12.099999999999996,7.900000000000001,0.9000000000000002,13.599999999999996,40.0,5.0,16.0,3.0,25,31,10,66
47,36005007800,6518.0,30437.0,12004.0,14343.0,1891.0,31.0,40.899999999999984,18.800000000000008,31.60000000000001,33.5,4.700000000000002,11.400000000000004,3.100000000000001,37.600000000000016,2415.0,86.0,7.299999999999998,6.700000000000002,0.0,15.699999999999996,120.0,21.0,17.0,1.0,30,57,15,102
48,36005007900,6420.0,24278.0,9630.0,13513.0,2921.0,44.7,63.0,12.199999999999998,35.80000000000001,25.699999999999992,5.299999999999998,21.0,4.1000000000000005,41.100000000000016,2204.0,80.29999999999997,9.2,10.5,0.0,14.400000000000004,60.0,8.0,20.0,5.0,33,80,13,126
49,36005008300,6882.0,19818.0,8210.0,11959.0,1709.0,41.899999999999984,55.100000000000016,18.1,40.399999999999984,26.199999999999992,5.4,9.900000000000004,3.5,42.100000000000016,2354.0,89.79999999999997,4.6000000000000005,5.299999999999998,0.2999999999999999,14.099999999999996,80.0,17.0,18.0,6.0,21,43,13,77
50,36005008400,2289.0,60135.0,8334.0,23698.0,4110.0,13.599999999999996,23.699999999999992,27.300000000000008,27.899999999999995,28.699999999999992,6.5,9.5,0.0,41.8,1039.0,79.20000000000002,17.699999999999996,3.100000000000001,0.0,10.2,60.0,0.0,6.0,0.0,5,7,3,15
51,36005008500,5959.0,27174.0,7981.0,12216.0,1583.0,39.3,41.899999999999984,15.400000000000004,36.2,27.800000000000008,7.799999999999998,12.8,1.9,37.899999999999984,2188.0,82.79999999999997,5.299999999999998,9.8,2.1000000000000005,15.099999999999996,40.0,5.0,9.0,3.0,33,47,14,94
52,36005008600,3874.0,23045.0,6048.0,12513.0,1714.0,39.10000000000001,49.100000000000016,17.300000000000004,42.899999999999984,18.4,7.0,14.400000000000004,0.5999999999999999,46.2,1295.0,82.79999999999998,13.099999999999996,4.1000000000000005,0.0,9.400000000000002,60.0,0.0,7.0,0.0,18,47,12,77
53,36005008700,6002.0,29188.0,5168.0,14050.0,1567.0,30.39999999999999,36.2,16.099999999999998,39.0,25.699999999999992,7.099999999999998,12.099999999999996,6.0,44.5,2236.0,80.60000000000002,15.199999999999996,4.200000000000002,0.0,8.299999999999999,80.0,13.0,25.0,10.0,49,91,18,158
54,36005008900,3438.0,20849.0,7996.0,11550.0,1928.0,32.5,26.800000000000008,15.900000000000004,41.7,21.1,7.400000000000001,13.900000000000004,4.1000000000000005,44.3,1162.0,83.39999999999998,11.3,5.299999999999998,0.0,6.5,20.0,3.0,5.0,3.0,35,57,10,102
55,36005009000,3476.0,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.60000000000001,5.299999999999999,4.200000000000001,4.4,43.8,1075.0,78.5,17.599999999999994,3.899999999999999,0.0,14.599999999999996,487.0,8.0,23.0,0.0,18,80,24,122
56,36005009200,5622.0,35227.0,8725.0,18825.0,2909.0,21.300000000000004,28.199999999999992,24.300000000000008,29.600000000000005,26.5,5.9,13.699999999999998,0.4,48.399999999999984,2235.0,77.0,16.800000000000004,6.1000000000000005,0.0,18.6,80.0,23.0,13.0,5.0,14,31,4,49
