,year,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FELONY,MISDEMEANOR,VIOLATION
189,2016,36005026702.0,6824,39432.0,10685.0,18652.0,2735.0,27.60000000000016,41.0,23.699999999999882,34.700000000000074,20.30000000000011,7.400000000000043,13.900000000000048,7.900000000000046,40.89999999999978,3201,75.40000000000025,16.899999999999974,7.700000000000002,0.0,13.5,80.0,169.0,58
190,2016,36005026900.0,3862,33365.0,5922.0,17103.0,2454.0,34.80000000000002,44.89999999999978,19.39999999999997,37.700000000000045,21.80000000000011,5.200000000000026,16.0,1.6000000000000068,43.0,1760,86.29999999999956,9.300000000000008,4.4,0.0,16.099999999999962,79.0,179.0,13
191,2016,36005027300.0,8113,42093.0,7063.0,18044.0,1896.0,24.39999999999984,39.70000000000023,21.89999999999986,36.10000000000022,23.899999999999853,7.59999999999995,10.5,1.399999999999991,44.5,3537,81.40000000000046,15.899999999999947,2.7000000000000175,0.0,16.399999999999938,109.0,178.0,67
192,2016,36005027401.0,4576,80673.0,10749.0,36809.0,4471.0,4.5,0.0,34.400000000000055,17.200000000000028,26.099999999999948,12.200000000000026,10.1,0.5,39.199999999999925,2261,76.69999999999995,21.300000000000008,2.0,0.0,9.899999999999997,30.0,60.0,28
193,2016,36005027402.0,3878,71849.0,16414.0,32326.0,4655.0,9.399999999999986,5.899999999999991,42.0,13.5,33.5,6.899999999999988,4.0,5.199999999999992,34.900000000000055,1801,71.0,21.20000000000003,5.800000000000005,2.0999999999999965,4.399999999999994,22.0,51.0,19
194,2016,36005027700.0,5892,33095.0,9330.0,14963.0,2255.0,33.5,42.39999999999977,15.400000000000002,48.5,19.10000000000007,6.0,11.099999999999941,1.6999999999999933,36.5,2395,80.09999999999968,10.900000000000059,9.0,0.0,14.599999999999973,79.0,183.0,48
195,2016,36005027900.0,6809,55573.0,6246.0,25801.0,3248.0,11.599999999999945,17.5,25.399999999999885,29.300000000000125,34.5,6.400000000000029,4.5,5.400000000000019,47.20000000000019,3592,74.70000000000039,14.699999999999926,9.900000000000052,0.8000000000000036,9.5,86.0,141.0,51
196,2016,36005028100.0,3974,61886.0,3689.0,30355.0,3005.0,7.600000000000015,0.0,39.699999999999925,27.199999999999967,22.699999999999992,2.4000000000000035,8.0,3.5,48.699999999999896,1730,62.5,33.199999999999946,4.300000000000009,0.0,14.79999999999997,33.0,62.0,14
197,2016,36005028300.0,3370,24759.0,6315.0,15903.0,3755.0,32.5,46.29999999999996,22.399999999999995,32.89999999999988,25.699999999999896,4.6000000000000165,14.400000000000055,2.8999999999999884,38.19999999999989,1251,68.5,20.599999999999977,10.900000000000043,0.0,12.5,50.0,137.0,32
198,2016,36005028500.0,3233,54232.0,7979.0,32688.0,6568.0,17.099999999999966,14.599999999999941,58.100000000000236,14.5,19.899999999999977,2.6000000000000125,4.900000000000005,2.8999999999999866,42.10000000000021,1637,83.90000000000015,14.80000000000007,1.3000000000000065,0.0,5.700000000000028,65.0,169.0,25
199,2016,36005028600.0,1288,61563.0,15252.0,24913.0,5224.0,21.599999999999962,36.40000000000006,44.40000000000002,12.5,18.79999999999997,9.600000000000016,14.700000000000026,1.9000000000000037,30.599999999999948,552,80.60000000000015,16.099999999999973,3.3000000000000065,0.0,9.799999999999985,26.0,61.0,14
200,2016,36005028700.0,3281,51692.0,5836.0,26322.0,6365.0,24.60000000000021,39.0,48.79999999999959,20.30000000000004,19.19999999999992,5.099999999999956,6.599999999999946,4.5999999999999615,37.60000000000021,1298,70.2999999999995,23.0,6.800000000000039,0.0,10.699999999999909,128.0,285.0,38
201,2016,36005028800.0,3527,91125.0,19099.0,35402.0,4903.0,4.899999999999988,7.5,50.0,21.5,16.0,3.300000000000008,9.200000000000024,1.4000000000000032,31.800000000000075,1702,70.30000000000005,23.699999999999967,6.100000000000013,0.0,3.600000000000008,35.0,69.0,24
202,2016,36005028900.0,4326,47361.0,11842.0,31090.0,10800.0,13.399999999999952,17.199999999999882,35.79999999999974,28.899999999999785,22.899999999999817,3.0999999999999934,9.300000000000068,6.0,41.89999999999984,2128,83.90000000000066,14.5,1.6000000000000123,0.0,11.099999999999984,102.0,264.0,49
203,2016,36005029301.0,1989,102045.0,16177.0,70483.0,13698.0,10.400000000000002,25.8,72.29999999999997,6.800000000000002,18.399999999999988,0.0,2.5,9.0,37.600000000000016,874,76.29999999999997,16.199999999999992,7.400000000000002,0.0,10.800000000000004,10.0,14.0,1
